stimulus_name,speech_rate,pitch_mean,pitch_sd,FL_ratio,AL_ratio,combined_ratio
CVC5-L2_C1_4_L1_4-int-dur,3.2644925210270563,5.38309182348573,2.009779006634749,2.0642853467514883,1.8112594812245195,1.8112594812245195
CVC5-L2_C1_4_L1_4-int-rate,5.392812459553907,5.821831770713105,2.1288700039515396,1.4505470188038119,1.5206213972484772,1.5206213972484772
CVC5-L2_C1_4_L1_4-int-dur-rate,5.392812459553907,5.832064370739797,2.1293343713191053,2.064285346751489,1.8112594812245186,1.8112594812245186
CVC5-L2_C1_4_L1_4-dur,3.2644925210270563,5.350906642489764,1.2942121984337265,2.0642853467514883,1.8112594812245195,1.8112594812245195
CVC5-L2_C1_4_L1_4-dur-rate,5.392812459553907,5.498667774337328,1.6076847178363611,2.064285346751489,1.8112594812245186,1.8112594812245186
CVC5-L2_C1_4_L1_4-rate,5.392812459553907,5.494585825577511,1.5871228454693902,1.4505470188038119,1.5206213972484772,1.5206213972484772
CVC5-L2_B1_5_B1_4-int-dur-rate,4.2291553768632095,6.343407042143628,1.493152469847211,1.7013273190067932,1.4594640777625087,1.4594640777625087
CVC5-L2_B1_5_L1_4-int,3.016393394362387,6.2319454154071865,2.2518056120352425,1.330671265728157,1.468942246419461,1.452135061234071
CVC5-L2_B1_5_L1_4-int-dur,3.016393394362387,6.157997465523648,2.239489973577466,2.064285346751489,1.8112594812245184,1.8112594812245184
CVC5-L2_B1_5_L1_4-int-rate,5.392812459553907,6.611252735980788,3.0522796266410452,1.3306712657281559,1.4689422464194615,1.4521350612340709
CVC5-L2_B1_5_L1_4-int-dur-rate,5.392812459553907,6.60125807763954,2.838470077363671,2.064285346751489,1.8112594812245186,1.8112594812245186
CVC5-L2_B1_5_L1_4-dur,3.016393394362387,6.115055792756426,1.6062998488378881,2.064285346751489,1.8112594812245184,1.8112594812245184
CVC5-L2_B1_5_L1_4-dur-rate,5.392812459553907,6.272325845491902,1.661238624277793,2.064285346751489,1.8112594812245186,1.8112594812245186
CVC5-L2_B1_5_L1_4-rate,5.392812459553907,6.269935405333579,1.8596690667167706,1.3306712657281559,1.4689422464194615,1.4521350612340709
CVC5-L2_C1_5_C1_4-int-dur-rate,3.2644925210270563,5.416189727185737,1.809657469284238,1.4505470188038125,1.5206213972484783,1.5206213972484783
CVC5-L2_C1_5_L1_4-int,3.9273198393806594,5.621821953479303,2.091957599987521,1.7816193531027584,1.473625018981738,1.473625018981738
CVC5-L2_C1_5_L1_4-int-dur,3.927319839380659,5.6036238913473895,2.090507144291687,2.0642853467514892,1.8112594812245189,1.8112594812245189
CVC5-L2_C1_5_L1_4-int-rate,5.392812459553907,5.93585763528059,2.1517415092860963,1.7816193531027584,1.4736250189817375,1.4736250189817375
CVC5-L2_C1_5_L1_4-int-dur-rate,5.392812459553907,5.94039015884345,2.149542919319376,2.064285346751489,1.8112594812245186,1.8112594812245186
CVC5-L2_C1_5_L1_4-dur,3.927319839380659,5.561876025926641,1.7520475261598918,2.0642853467514892,1.8112594812245189,1.8112594812245189
CVC5-L2_C1_5_L1_4-dur-rate,5.392812459553907,5.767988543241071,1.7903852864947987,2.064285346751489,1.8112594812245186,1.8112594812245186
CVC5-L2_C1_5_L1_4-rate,5.392812459553907,5.759402716984216,1.9092585204016785,1.7816193531027584,1.4736250189817375,1.4736250189817375
M5-L2_B1_4_B1_5-int-dur-rate,3.1435966768280004,5.891769380964043,1.5217949540773485,1.7340468389077217,2.096606415500039,1.931658770624562
